Name,contact_number,Contact_email,creation_date,first_call_attempt,lead_status,lead_stage,lead_tag,assigned_to,last_call_date,last_call_time,references,campaign_name,source_type,source_name,Total Leads,Sales,Conversion Rate (%),Cost per Lead,Total Cost
Varun Joshi,9596303428,varun.joshi229@outlook.com,20-11-2025 06:22,20-11-2025 12:10,CLOSED,LOST,lost-to-competition,Thaslim New,21-11-2025 14:25,2:25 PM,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,33,33,100,7,231
Anjali Reddy,8502318767,anjali.reddy732@gmail.com,20-11-2025 06:12,21-11-2025 10:20,CLOSED,LOST,not-interested,Anandhakrishnan,21-11-2025 10:20,10:20 AM,,BA NEW 18-08-2025,INSTAGRAM,INSTAGRAM,36,25,69.44444444,14,504
Riya Yadav,9756991537,riya.yadav238@outlook.com,20-11-2025 03:24,21-11-2025 17:50,CLOSED,LOST,not-interested,VIJI,21-11-2025 17:50,5:50 PM,,Digital Marketing Knovista,FACEBOOK_ADS,FACEBOOK_ADS,32,1,3.125,6,192
Kavya Yadav,7587631566,kavya.yadav789@outlook.com,20-11-2025 03:00,22-11-2025 17:06,CLOSED,LOST,not-interested,Dharshana,22-11-2025 17:06,5:06 PM,,UI/UX no Stipend,INSTAGRAM,INSTAGRAM,10,9,90,10,100
Rahul Iyer,7480872827,rahul.iyer301@gmail.com,20-11-2025 02:26,20-11-2025 12:00,CLOSED,LOST,not-interested,Shiyana nazeer,20-11-2025 15:18,3:18 PM,,Data Analytics Knovista,FACEBOOK_ADS,FACEBOOK_ADS,20,0,0,13,260
Meera Nair,9870558855,meera.nair610@yahoo.com,20-11-2025 02:16,20-11-2025 15:22,CLOSED,LOST,not-interested,Munfira,20-11-2025 15:22,3:22 PM,,BA NEW 18-08-2025,INSTAGRAM,INSTAGRAM,24,19,79.16666667,5,120
Manoj Gupta,7158941588,manoj.gupta902@yahoo.com,20-11-2025 02:15,20-11-2025 18:14,NOT CONNECTED - RESCHEDULED BY SYSTEM,Prospect,,Revathy Reghu,20-11-2025 18:14,6:14 PM,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,18,0,0,5,90
Sneha Shetty,9827894376,sneha.shetty658@outlook.com,20-11-2025 01:59,20-11-2025 17:24,CLOSED,LOST,not-interested,Dharshana,25-11-2025 15:17,3:17 PM,,Python Knovista No Stipend,INSTAGRAM,INSTAGRAM,14,5,35.71428571,4,56
Kavya Gupta,7966932872,kavya.gupta483@yahoo.com,20-11-2025 01:22,20-11-2025 16:13,CLOSED,LOST,not-interested,Revathy Reghu,19-12-2025 18:24,6:24 PM,,Refurbished Campaign-DA,MOVE_LEAD,MOVE_LEAD,22,15,68.18181818,13,286
Divya Joshi,8011845773,divya.joshi793@hotmail.com,20-11-2025 01:10,22-11-2025 10:23,CLOSED,LOST,not-interested,Revathy Reghu,22-11-2025 10:23,10:23 AM,,UI/UX no Stipend,INSTAGRAM,INSTAGRAM,20,8,40,4,80
Anjali Kapoor,8669187490,anjali.kapoor232@outlook.com,20-11-2025 00:54,20-11-2025 12:44,PENDING WITH EXECUTIVE,Prospect,,VIJI,20-11-2025 14:45,2:45 PM,,Digital Marketing Knovista,INSTAGRAM,INSTAGRAM,26,4,15.38461538,9,234
Kiran Chopra,8509003683,kiran.chopra400@gmail.com,20-11-2025 00:53,20-11-2025 11:59,CLOSED,LOST,not-interested,Dharshana,20-11-2025 14:46,2:46 PM,,Python Knovista No Stipend,FACEBOOK_ADS,FACEBOOK_ADS,41,17,41.46341463,8,328
Riya Malhotra,7589316390,riya.malhotra851@example.com,20-11-2025 00:49,20-11-2025 14:44,CLOSED,LOST,not-interested,Megha S,20-11-2025 14:44,2:44 PM,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,11,2,18.18181818,15,165
Anjali Pillai,8241952839,anjali.pillai604@outlook.com,20-11-2025 00:38,20-11-2025 14:43,CLOSED,LOST,not-interested,Megha S,20-11-2025 14:43,2:43 PM,,Python Knovista New,INSTAGRAM,INSTAGRAM,20,20,100,14,280
Rohit Gupta,8738414381,rohit.gupta715@gmail.com,20-11-2025 00:36,22-11-2025 16:56,CLOSED,LOST,not-interested,Dharshana,01-12-2025 17:17,5:17 PM,,UI/UX no Stipend,INSTAGRAM,INSTAGRAM,46,13,28.26086957,6,276
Aditya Shetty,6679052007,aditya.shetty187@hotmail.com,20-11-2025 00:12,22-11-2025 18:19,CLOSED,LOST,not-interested,VIJI,25-11-2025 09:57,9:57 AM,,Digital Marketing Knovista,INSTAGRAM,INSTAGRAM,29,22,75.86206897,7,203
Sneha Yadav,8185985606,sneha.yadav881@outlook.com,20-11-2025 00:09,20-11-2025 18:13,NOT CONNECTED - RESCHEDULED BY SYSTEM,Prospect,,Revathy Reghu,20-11-2025 18:13,6:13 PM,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,24,21,87.5,5,120
Kavya Kapoor,7318795202,kavya.kapoor724@gmail.com,20-11-2025 00:06,20-11-2025 17:25,CLOSED,LOST,not-interested,Dharshana,22-11-2025 16:40,4:40 PM,,PHP Knovista,INSTAGRAM,INSTAGRAM,34,24,70.58823529,9,306
Neha Das,6841031931,neha.das886@yahoo.com,19-11-2025 23:54,20-11-2025 16:09,CLOSED,LOST,not-interested,Dharshana,20-11-2025 16:09,4:09 PM,,Python Knovista No Stipend,INSTAGRAM,INSTAGRAM,39,19,48.71794872,12,468
Divya Singh,9926823042,divya.singh435@outlook.com,19-11-2025 23:53,20-11-2025 11:59,CLOSED,LOST,not-interested,Shiyana nazeer,22-11-2025 17:41,5:41 PM,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,25,3,12,4,100
Kiran Bose,6743167778,kiran.bose621@example.com,19-11-2025 23:34,20-11-2025 11:46,RESCHEDULED BY EXECUTIVE,Follow Up Required,cold,Megha S,20-11-2025 11:46,11:46 AM,,Python Knovista New,INSTAGRAM,INSTAGRAM,25,25,100,12,300
Kavya Bhat,6489432688,kavya.bhat269@yahoo.com,19-11-2025 23:32,20-11-2025 17:17,NOT CONNECTED - RESCHEDULED BY SYSTEM,Prospect,,Anandhakrishnan,20-11-2025 17:17,5:17 PM,,Refurbished Campaign,MOVE_LEAD,MOVE_LEAD,42,14,33.33333333,11,462
Kiran Menon,6265451059,kiran.menon413@hotmail.com,19-11-2025 23:08,20-11-2025 12:40,NOT CONNECTED - RESCHEDULED BY SYSTEM,Prospect,,Anandhakrishnan,20-11-2025 12:40,12:40 PM,,Refurbished Campaign,MOVE_LEAD,MOVE_LEAD,18,12,66.66666667,8,144
Anjali Patel,8657906359,anjali.patel25@outlook.com,19-11-2025 22:52,20-11-2025 18:13,CLOSED,LOST,not-interested,Anandhakrishnan,20-11-2025 18:13,6:13 PM,,BA NEW 18-08-2025,INSTAGRAM,INSTAGRAM,7,3,42.85714286,7,49
Meera Bose,9191893893,meera.bose373@gmail.com,19-11-2025 22:47,08-12-2025 18:32,CLOSED,LOST,not-interested,Ashna sathar,09-12-2025 18:52,6:52 PM,,Refurbished Campaign- UI/UX,MOVE_LEAD,MOVE_LEAD,49,45,91.83673469,11,539
Arjun Shetty,8286479784,arjun.shetty900@outlook.com,19-11-2025 22:46,20-11-2025 11:22,CLOSED,LOST,not-interested,VIJI,22-11-2025 15:17,3:17 PM,,Digital Marketing Knovista,INSTAGRAM,INSTAGRAM,17,6,35.29411765,3,51
Pooja Reddy,7215542400,pooja.reddy228@example.com,19-11-2025 22:27,20-11-2025 15:18,RESCHEDULED BY EXECUTIVE,Follow Up Required,cold,Anandhakrishnan,20-11-2025 15:18,3:18 PM,,BA NEW 18-08-2025,INSTAGRAM,INSTAGRAM,23,13,56.52173913,4,92
Riya Das,9033812384,riya.das66@hotmail.com,19-11-2025 22:26,20-11-2025 15:49,NOT CONNECTED - RESCHEDULED BY SYSTEM,Prospect,,Megha S,20-11-2025 15:49,3:49 PM,,Python Knovista New,INSTAGRAM,INSTAGRAM,12,1,8.333333333,12,144
Varun Joshi,8394773030,varun.joshi784@outlook.com,19-11-2025 22:22,20-11-2025 11:57,RESCHEDULED BY EXECUTIVE,Follow Up Required,cold,Shiyana nazeer,20-11-2025 11:57,11:57 AM,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,26,25,96.15384615,11,286
Aisha Bose,8980822142,aisha.bose735@gmail.com,19-11-2025 22:18,20-11-2025 15:03,PENDING WITH EXECUTIVE,Prospect,,Ardra Shibu,03-12-2025 16:00,4:00 PM,,Refurbished Campaign,MOVE_LEAD,MOVE_LEAD,28,27,96.42857143,11,308
Aditya Iyer,9755381255,aditya.iyer525@gmail.com,19-11-2025 22:11,20-11-2025 15:37,CLOSED,LOST,not-interested,Dharshana,20-11-2025 15:37,3:37 PM,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,44,20,45.45454545,10,440
Meera Bhat,6127700036,meera.bhat513@example.com,19-11-2025 21:59,20-11-2025 12:22,CLOSED,LOST,not-interested,Munfira,20-11-2025 12:22,12:22 PM,,BA NEW 18-08-2025,INSTAGRAM,INSTAGRAM,19,9,47.36842105,13,247
Neha Bhat,9625999525,neha.bhat364@example.com,19-11-2025 21:55,26-11-2025 17:11,CLOSED,LOST,not-interested,Anandhakrishnan,26-11-2025 17:11,5:11 PM,,BA NEW 18-08-2025,INSTAGRAM,INSTAGRAM,9,5,55.55555556,3,27
Neha Joshi,6593647938,neha.joshi808@example.com,19-11-2025 21:25,20-11-2025 10:24,CLOSED,LOST,not-interested,Dharshana,20-11-2025 10:24,10:24 AM,,Python Knovista New,INSTAGRAM,INSTAGRAM,50,20,40,15,750
Divya Chopra,7003312282,divya.chopra605@hotmail.com,19-11-2025 21:23,20-11-2025 16:24,CLOSED,LOST,not-interested,Revathy Reghu,20-11-2025 16:24,4:24 PM,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,33,29,87.87878788,12,396
Sneha Joshi,9288062870,sneha.joshi968@hotmail.com,19-11-2025 21:21,20-11-2025 15:50,CLOSED,LOST,lost-to-competition,Thaslim New,20-11-2025 17:15,5:15 PM,,Python Knovista New,INSTAGRAM,INSTAGRAM,30,9,30,15,450
Neha Joshi,7052028412,neha.joshi839@yahoo.com,19-11-2025 21:19,20-11-2025 18:13,CLOSED,LOST,not-interested,Revathy Reghu,21-11-2025 11:50,11:50 AM,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,47,38,80.85106383,15,705
Kavya Patel,9950033567,kavya.patel501@hotmail.com,19-11-2025 21:17,20-11-2025 13:01,CLOSED,LOST,not-interested,Dharshana,20-11-2025 15:50,3:50 PM,,PHP Knovista,INSTAGRAM,INSTAGRAM,39,26,66.66666667,13,507
Aisha Gupta,8568255043,aisha.gupta862@example.com,19-11-2025 21:04,20-11-2025 17:04,CLOSED,CONVERTED,,Revathy Reghu,21-11-2025 14:57,2:57 PM,,Python Knovista New,INSTAGRAM,INSTAGRAM,29,17,58.62068966,7,203
Sneha Kumar,6572298999,sneha.kumar399@example.com,19-11-2025 21:03,20-11-2025 14:43,NOT CONNECTED - CLOSED BY SYSTEM,LOST,,Shiyana nazeer,04-12-2025 15:13,3:13 PM,,Python Knovista New,INSTAGRAM,INSTAGRAM,44,20,45.45454545,7,308
Sneha Bose,8281457453,sneha.bose109@hotmail.com,19-11-2025 21:03,20-11-2025 15:06,CLOSED,LOST,not-interested,Revathy Reghu,20-11-2025 15:06,3:06 PM,,Python Knovista New,INSTAGRAM,INSTAGRAM,16,12,75,6,96
Kavya Bose,7435305449,kavya.bose261@outlook.com,19-11-2025 20:57,20-11-2025 11:04,CLOSED,LOST,not-interested,VIJI,26-11-2025 10:14,10:14 AM,,Digital Marketing Knovista,INSTAGRAM,INSTAGRAM,32,29,90.625,7,224
Nikhil Iyer,9582857390,nikhil.iyer551@outlook.com,19-11-2025 20:54,20-11-2025 12:05,CLOSED,LOST,not-interested,Munfira,20-11-2025 12:05,12:05 PM,,BA NEW 18-08-2025,INSTAGRAM,INSTAGRAM,11,7,63.63636364,6,66
Aditya Iyer,8597474313,aditya.iyer235@yahoo.com,19-11-2025 20:46,20-11-2025 12:23,RESCHEDULED BY EXECUTIVE,Follow Up Required,cold,Anandhakrishnan,20-11-2025 12:23,12:23 PM,,BA NEW 18-08-2025,INSTAGRAM,INSTAGRAM,47,15,31.91489362,5,235
Aisha Sharma,7538791742,aisha.sharma670@hotmail.com,19-11-2025 20:18,20-11-2025 11:43,NOT CONNECTED - RESCHEDULED BY SYSTEM,Prospect,,Thaslim New,20-11-2025 11:43,11:43 AM,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,10,5,50,3,30
Arjun Kumar,6381209206,arjun.kumar891@gmail.com,19-11-2025 20:17,20-11-2025 15:01,CLOSED,LOST,lost-to-competition,Thaslim New,20-11-2025 17:14,5:14 PM,,Python Knovista New,INSTAGRAM,INSTAGRAM,45,17,37.77777778,15,675
Vikram Kumar,8512375079,vikram.kumar352@example.com,19-11-2025 20:15,20-11-2025 15:49,CLOSED,LOST,not-interested,Megha S,20-11-2025 15:49,3:49 PM,,Python Knovista New,INSTAGRAM,INSTAGRAM,10,4,40,6,60
Neha Patel,8424103792,neha.patel294@hotmail.com,19-11-2025 20:15,20-11-2025 15:37,CLOSED,LOST,not-interested,Revathy Reghu,20-11-2025 15:37,3:37 PM,,Python Knovista New,INSTAGRAM,INSTAGRAM,30,12,40,13,390
Karthik Bhat,6724867039,karthik.bhat924@example.com,19-11-2025 20:14,20-11-2025 12:39,CLOSED,LOST,not-interested,Amghitha,19-12-2025 15:33,3:33 PM,,Refurbished Campaign-DA,MOVE_LEAD,MOVE_LEAD,42,3,7.142857143,3,126
Anjali Malhotra,9027358358,anjali.malhotra932@example.com,19-11-2025 20:11,20-11-2025 11:44,NOT CONNECTED - CLOSED BY SYSTEM,LOST,,Thaslim New,20-11-2025 11:44,11:44 AM,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,15,7,46.66666667,6,90
Divya Iyer,7277906641,divya.iyer524@gmail.com,19-11-2025 20:05,20-11-2025 10:56,CLOSED,LOST,not-interested,Munfira,20-11-2025 10:56,10:56 AM,,DM NO-STIPEND-23-10-2025,FACEBOOK_ADS,FACEBOOK_ADS,26,24,92.30769231,14,364
Varun Patel,6369883221,varun.patel27@example.com,19-11-2025 19:57,20-11-2025 12:01,NOT CONNECTED - RESCHEDULED BY SYSTEM,Prospect,,Anandhakrishnan,20-11-2025 12:01,12:01 PM,,Refurbished Campaign,MOVE_LEAD,MOVE_LEAD,22,16,72.72727273,5,110
Sanjay Kulkarni,7395846613,sanjay.kulkarni523@yahoo.com,19-11-2025 19:57,20-11-2025 15:37,CLOSED,LOST,not-interested,Revathy Reghu,20-11-2025 15:37,3:37 PM,,Python Knovista New,FACEBOOK_ADS,FACEBOOK_ADS,29,14,48.27586207,6,174
Sanjay Das,6296840488,sanjay.das715@outlook.com,19-11-2025 19:50,20-11-2025 15:05,CLOSED,LOST,not-interested,Amghitha,10-12-2025 16:52,4:52 PM,,Refurbished Campaign-PYTHON,MOVE_LEAD,MOVE_LEAD,15,11,73.33333333,12,180
Anjali Sharma,9918967946,anjali.sharma387@example.com,19-11-2025 19:49,20-11-2025 12:56,CLOSED,LOST,not-interested,Revathy Reghu,20-11-2025 12:56,12:56 PM,,Python Knovista New,INSTAGRAM,INSTAGRAM,7,2,28.57142857,15,105
Sanjay Patel,9785853856,sanjay.patel584@outlook.com,19-11-2025 19:47,20-11-2025 10:08,CLOSED,LOST,not-interested,Shiyana nazeer,05-12-2025 16:42,4:42 PM,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,8,0,0,3,24
Aditya Gupta,9644858462,aditya.gupta333@outlook.com,19-11-2025 19:39,20-11-2025 15:17,CLOSED,LOST,not-interested,VIJI,25-11-2025 09:53,9:53 AM,,Digital Marketing Knovista,INSTAGRAM,INSTAGRAM,47,37,78.72340426,13,611
Meera Singh,7783700352,meera.singh542@yahoo.com,19-11-2025 19:36,20-11-2025 12:54,CLOSED,LOST,not-interested,Ashna sathar,03-12-2025 17:40,5:40 PM,,Digital Marketing Knovista,INSTAGRAM,INSTAGRAM,45,7,15.55555556,13,585
Manoj Joshi,8871978552,manoj.joshi272@hotmail.com,19-11-2025 19:27,20-11-2025 14:31,NOT CONNECTED - RESCHEDULED BY SYSTEM,Prospect,,Thaslim New,20-11-2025 14:31,2:31 PM,,Python Knovista No Stipend,INSTAGRAM,INSTAGRAM,19,13,68.42105263,15,285
Karthik Patel,8332809652,karthik.patel246@outlook.com,19-11-2025 19:26,20-11-2025 11:24,CLOSED,LOST,not-interested,VIJI,21-11-2025 11:58,11:58 AM,,DM NO-STIPEND-23-10-2025,INSTAGRAM,INSTAGRAM,38,7,18.42105263,9,342
Riya Yadav,9687333166,riya.yadav237@outlook.com,19-11-2025 18:52,20-11-2025 11:23,CLOSED,LOST,not-interested,Dharshana,20-11-2025 11:23,11:23 AM,,Python Knovista New,INSTAGRAM,INSTAGRAM,5,4,80,3,15
Divya Chopra,6347463492,divya.chopra335@hotmail.com,19-11-2025 18:51,24-11-2025 14:46,CLOSED,LOST,not-interested,Munfira,24-11-2025 14:46,2:46 PM,,BA NEW 18-08-2025,INSTAGRAM,INSTAGRAM,46,2,4.347826087,7,322
Manoj Kulkarni,8455088350,manoj.kulkarni829@outlook.com,19-11-2025 18:48,20-11-2025 10:06,CLOSED,LOST,not-interested,Shiyana nazeer,20-11-2025 11:10,11:10 AM,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,17,1,5.882352941,5,85
Varun Pillai,7626713276,varun.pillai840@example.com,19-11-2025 18:44,20-11-2025 10:02,CLOSED,LOST,not-interested,Shiyana nazeer,20-11-2025 15:16,3:16 PM,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,21,21,100,3,63
Aisha Yadav,6202097752,aisha.yadav884@yahoo.com,19-11-2025 18:39,20-11-2025 15:42,RESCHEDULED BY EXECUTIVE,Follow Up Required,warm,Munfira,20-11-2025 15:42,3:42 PM,,BA NEW 18-08-2025,FACEBOOK_ADS,FACEBOOK_ADS,14,11,78.57142857,13,182
Anjali Kulkarni,7519350646,anjali.kulkarni468@outlook.com,19-11-2025 18:26,20-11-2025 12:55,CLOSED,LOST,not-interested,Revathy Reghu,20-11-2025 12:55,12:55 PM,,Python Knovista New,INSTAGRAM,INSTAGRAM,49,27,55.10204082,6,294
Pooja Das,8759061850,pooja.das311@yahoo.com,19-11-2025 18:17,20-11-2025 15:47,NOT CONNECTED - RESCHEDULED BY SYSTEM,Prospect,,Amghitha,10-12-2025 17:01,5:01 PM,,Refurbished Campaign-PYTHON,MOVE_LEAD,MOVE_LEAD,19,5,26.31578947,7,133
Arjun Bose,6624839890,arjun.bose295@hotmail.com,19-11-2025 18:08,20-11-2025 13:03,CLOSED,LOST,not-interested,Shiyana nazeer,06-12-2025 12:52,12:52 PM,,Refurbished Campaign-DA,MOVE_LEAD,MOVE_LEAD,17,8,47.05882353,15,255
Pooja Pillai,7916957596,pooja.pillai194@outlook.com,19-11-2025 18:02,20-11-2025 11:59,CLOSED,LOST,not-interested,Dharshana,11-12-2025 11:50,11:50 AM,,PHP Knovista,INSTAGRAM,INSTAGRAM,46,33,71.73913043,11,506
Kiran Kulkarni,6850863157,kiran.kulkarni146@outlook.com,19-11-2025 17:45,20-11-2025 14:43,CLOSED,LOST,not-interested,Megha S,20-11-2025 14:43,2:43 PM,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,9,4,44.44444444,14,126
Rohit Kulkarni,9449513269,rohit.kulkarni668@gmail.com,19-11-2025 17:24,20-11-2025 12:04,RESCHEDULED BY EXECUTIVE,Follow Up Required,cold,Munfira,20-11-2025 12:04,12:04 PM,,BA NEW 18-08-2025,INSTAGRAM,INSTAGRAM,11,4,36.36363636,5,55
Divya Yadav,6986268734,divya.yadav132@example.com,19-11-2025 17:18,20-11-2025 10:29,CLOSED,CONVERTED,,Revathy Reghu,20-11-2025 14:23,2:23 PM,,Python Knovista New,INSTAGRAM,INSTAGRAM,5,4,80,4,20
Aisha Kulkarni,9803457566,aisha.kulkarni373@yahoo.com,19-11-2025 17:13,20-11-2025 10:08,CLOSED,LOST,not-interested,Dharshana,20-11-2025 15:50,3:50 PM,,Python Knovista New,INSTAGRAM,INSTAGRAM,16,14,87.5,4,64
Arjun Joshi,9392793515,arjun.joshi87@example.com,19-11-2025 17:10,20-11-2025 11:06,CLOSED,LOST,not-interested,Dharshana,20-11-2025 11:06,11:06 AM,,Python Knovista New,INSTAGRAM,INSTAGRAM,29,24,82.75862069,15,435
Vikram Kapoor,8014921312,vikram.kapoor811@yahoo.com,19-11-2025 17:06,19-11-2025 17:52,NOT CONNECTED - RESCHEDULED BY SYSTEM,Prospect,,Sherin Shaji,09-12-2025 16:00,4:00 PM,,Refurbished Campaign- DM,MOVE_LEAD,MOVE_LEAD,10,5,50,12,120
Nikhil Chopra,6670760215,nikhil.chopra383@yahoo.com,19-11-2025 17:06,19-11-2025 18:35,CLOSED,LOST,not-interested,Sherin Shaji,09-12-2025 15:54,3:54 PM,,Refurbished Campaign- DM,MOVE_LEAD,MOVE_LEAD,25,4,16,12,300
Rohit Reddy,7730862464,rohit.reddy954@outlook.com,19-11-2025 16:55,09-12-2025 15:49,CLOSED,LOST,not-interested,Sherin Shaji,09-12-2025 15:49,3:49 PM,,Refurbished Campaign- DM,MOVE_LEAD,MOVE_LEAD,20,3,15,12,240
Kiran Joshi,8250512899,kiran.joshi690@hotmail.com,19-11-2025 16:44,09-12-2025 15:40,CLOSED,LOST,not-interested,Sherin Shaji,09-12-2025 15:40,3:40 PM,,Refurbished Campaign- DM,MOVE_LEAD,MOVE_LEAD,42,17,40.47619048,13,546
Neha Malhotra,7924314147,neha.malhotra157@hotmail.com,19-11-2025 16:22,19-11-2025 17:48,CLOSED,LOST,not-interested,Megha S,22-11-2025 18:01,6:01 PM,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,21,4,19.04761905,15,315
Meera Menon,9911424709,meera.menon746@outlook.com,19-11-2025 16:17,20-11-2025 12:54,CLOSED,LOST,not-interested,Ashna sathar,05-12-2025 10:19,10:19 AM,,Digital Marketing Knovista,INSTAGRAM,INSTAGRAM,5,3,60,13,65
Vikram Pillai,9953388014,vikram.pillai938@example.com,19-11-2025 15:58,19-11-2025 18:11,NOT CONNECTED - RESCHEDULED BY SYSTEM,Prospect,,Thaslim New,19-11-2025 18:11,6:11 PM,,PHP Knovista,FACEBOOK_ADS,FACEBOOK_ADS,35,0,0,13,455
Manoj Patel,6825361591,manoj.patel770@hotmail.com,19-11-2025 15:53,20-11-2025 14:48,CLOSED,LOST,not-interested,VIJI,28-11-2025 14:49,2:49 PM,,Digital Marketing Knovista,INSTAGRAM,INSTAGRAM,10,5,50,8,80
Rahul Reddy,7883716463,rahul.reddy723@gmail.com,19-11-2025 15:49,19-11-2025 17:29,CLOSED,LOST,not-interested,Dharshana,19-11-2025 17:29,5:29 PM,,Python Knovista New,INSTAGRAM,INSTAGRAM,43,31,72.09302326,15,645
Aditya Shetty,6092325713,aditya.shetty474@hotmail.com,19-11-2025 15:44,19-11-2025 18:22,CLOSED,LOST,not-interested,VIJI,19-11-2025 18:22,6:22 PM,,Digital Marketing Knovista,INSTAGRAM,INSTAGRAM,33,6,18.18181818,11,363
Aditya Kulkarni,7465356699,aditya.kulkarni292@outlook.com,19-11-2025 15:32,09-12-2025 17:48,NOT CONNECTED - RESCHEDULED BY SYSTEM,Prospect,,Devi Nandhana,09-12-2025 17:48,5:48 PM,,Refurbished Campaign- DM,MOVE_LEAD,MOVE_LEAD,36,28,77.77777778,10,360
Kiran Gupta,9909379931,kiran.gupta461@hotmail.com,19-11-2025 15:19,19-11-2025 17:47,CLOSED,LOST,not-interested,Ashna sathar,02-12-2025 16:28,4:28 PM,,Digital Marketing Knovista,INSTAGRAM,INSTAGRAM,30,4,13.33333333,8,240
Aditya Das,8572602396,aditya.das339@hotmail.com,19-11-2025 15:17,20-11-2025 12:36,CLOSED,LOST,not-interested,VIJI,20-11-2025 12:36,12:36 PM,,Digital Marketing Knovista,INSTAGRAM,INSTAGRAM,47,26,55.31914894,6,282
Varun Bhat,6824018599,varun.bhat385@gmail.com,19-11-2025 15:17,19-11-2025 18:22,CLOSED,LOST,not-interested,VIJI,21-11-2025 12:13,12:13 PM,,Digital Marketing Knovista,INSTAGRAM,INSTAGRAM,36,14,38.88888889,8,288
Manoj Bhat,7911308547,manoj.bhat178@example.com,19-11-2025 15:04,19-11-2025 17:25,NOT CONNECTED - CLOSED BY SYSTEM,LOST,,Shiyana nazeer,19-11-2025 17:25,5:25 PM,,Python Knovista No Stipend,INSTAGRAM,INSTAGRAM,50,48,96,10,500
Kavya Gupta,7847434977,kavya.gupta81@hotmail.com,19-11-2025 14:45,19-11-2025 18:24,CLOSED,LOST,not-interested,VIJI,19-11-2025 18:24,6:24 PM,,UI/UX Hiring,FACEBOOK_ADS,FACEBOOK_ADS,35,15,42.85714286,8,280
Kiran Menon,7511630639,kiran.menon178@yahoo.com,19-11-2025 14:37,19-11-2025 15:19,CLOSED,LOST,lost-to-competition,Thaslim New,19-11-2025 15:19,3:19 PM,,Python Knovista New,INSTAGRAM,INSTAGRAM,33,26,78.78787879,9,297
Manoj Bhat,8957749538,manoj.bhat264@yahoo.com,19-11-2025 14:29,19-11-2025 17:39,CLOSED,LOST,not-interested,VIJI,19-11-2025 17:39,5:39 PM,,Digital Marketing Knovista,INSTAGRAM,INSTAGRAM,36,6,16.66666667,5,180
Rahul Gupta,7414932224,rahul.gupta132@yahoo.com,19-11-2025 14:22,19-11-2025 17:25,CLOSED,LOST,not-interested,VIJI,19-11-2025 17:25,5:25 PM,,Digital Marketing Knovista,INSTAGRAM,INSTAGRAM,41,17,41.46341463,9,369
Meera Bhat,7855939525,meera.bhat860@outlook.com,19-11-2025 14:15,19-11-2025 15:35,CLOSED,LOST,not-interested,Megha S,19-11-2025 15:35,3:35 PM,,Data Analytics Knovista,INSTAGRAM,INSTAGRAM,27,18,66.66666667,7,189
Anjali Gupta,6004661347,anjali.gupta667@yahoo.com,19-11-2025 14:03,19-11-2025 17:01,NOT CONNECTED - RESCHEDULED BY SYSTEM,Prospect,,Thaslim New,19-11-2025 17:01,5:01 PM,,Python Knovista New,INSTAGRAM,INSTAGRAM,11,11,100,13,143
Vikram Patel,6241220423,vikram.patel351@hotmail.com,19-11-2025 13:49,20-11-2025 10:12,CLOSED,LOST,not-interested,Munfira,20-12-2025 15:35,3:35 PM,,BA NEW 18-08-2025,INSTAGRAM,INSTAGRAM,13,10,76.92307692,13,169
Rahul Bhat,7997686393,rahul.bhat966@example.com,19-11-2025 13:42,19-11-2025 17:33,NOT CONNECTED - RESCHEDULED BY SYSTEM,Prospect,,Anandhakrishnan,19-11-2025 17:33,5:33 PM,,Refurbished Campaign,MOVE_LEAD,MOVE_LEAD,45,43,95.55555556,4,180
Nikhil Yadav,9203641519,nikhil.yadav251@example.com,19-11-2025 13:37,19-11-2025 16:03,CLOSED,LOST,not-interested,Ardra Shibu,04-12-2025 17:07,5:07 PM,,BA NEW 18-08-2025,INSTAGRAM,INSTAGRAM,22,18,81.81818182,12,264
Sanjay Menon,8998521896,sanjay.menon278@gmail.com,19-11-2025 13:28,19-11-2025 15:22,CLOSED,LOST,not-interested,Dharshana,19-11-2025 15:22,3:22 PM,,Python Knovista New,INSTAGRAM,INSTAGRAM,30,25,83.33333333,15,450
Aisha Pillai,7075620408,aisha.pillai239@outlook.com,19-11-2025 13:17,09-12-2025 17:47,CLOSED,LOST,not-interested,Devi Nandhana,09-12-2025 17:47,5:47 PM,,Refurbished Campaign- DM,MOVE_LEAD,MOVE_LEAD,9,7,77.77777778,6,54
